"angkotid";"top_1";"top_2";"center_1";"center_2";"center_3";"bottom"
"caringinsadangserang";"lblue";"lblue";"lblue";"lblue";"yellow";"green"
"cicadaselangkalapacicadas";"red";"red";"red";"red";"white";"green"
"cicadaselangkalapaelang";"red";"red";"red";"red";"white";"green"
"cicaheumciroyom";"green";"green";"green";"orange";"green";"green"
"cicaheumledeng";"green";"green";"green";"green";"green";"black"
"cijerahciwastra";"grey";"grey";"grey";"grey";"white";"green"
"cijerahsederhana";"green";"green";"green";"red";"green";"green"
"ciroyomantapani";"beige";"beige";"beige";"beige";"red";"green"
"ciroyomsarijadibelok";"beige";"green";"beige";"beige";"green";"green"
"ciroyomciburial";"green";"green";"green";"green";"green";"beige"
"cisitutegallega";"purple";"purple";"purple";"purple";"white";"green"
"ciumbuleuitsthallbelok";"green";"green";"white";"blue";"blue";"green"
"ciumbuleuitsthalllurus";"green";"green";"white";"blue";"blue";"green"
"dagocaringin";"orange";"orange";"white";"white";"white";"green"
"dagoriungbandung";"white";"white";"white";"white";"yellow";"green"
"dagosthall";"green";"green";"green";"orange";"green";"green"
"kalapabuahbatu";"blue";"blue";"blue";"blue";"white";"green"
"kalapacibaduyut";"yellow";"yellow";"yellow";"yellow";"white";"green"
"kalapacicaheumviaaceh";"green";"green";"green";"green";"green";"dred"
"kalapacicaheumviabinong";"green";"green";"green";"green";"green";"yellow"
"kalapadago";"green";"green";"green";"green";"green";"orange"
"kalapamengger";"orange";"orange";"orange";"orange";"white";"green"
"kalapakarangsetra";"yellow";"yellow";"yellow";"yellow";"white";"green"
"kalapaledeng";"green";"green";"green";"green";"green";"lblue"
"kalapasukajadi";"blue";"blue";"blue";"blue";"white";"green"
"margahayuledeng";"yellow";"lblue";"yellow";"yellow";"yellow";"lblue"
"panghegardipatiukur";"white";"white";"yellow";"yellow";"red";"green"
"sthallcimahi";"green";"green";"green";"white";"green";"orange"
"sthallgedebage";"lgreen";"lgreen";"lgreen";"lgreen";"red";"green"
"sthallgunungbatu";"lblue";"lblue";"lblue";"lblue";"orange";"green"
"sthalllembang";"beige";"beige";"beige";"beige";"red";"black"
"sthallsadangserang";"green";"green";"green";"green";"yellow";"green"
"sthallsarijadi";"lblue";"lblue";"lblue";"lblue";"blue";"green"
