"angkotid";"top_1";"top_2";"center_1";"center_2";"center_3";"bottom"
"m01a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m01b";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m01g";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m02";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m03";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m04";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m06";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m06a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m07";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m08";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m09";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m09a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m10";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m11";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m12";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m12a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m13";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m14";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m15";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m15a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m16";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m17";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m17a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m18";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m19";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m20";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m21";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m24";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m25";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m26";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m27";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m28";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m29";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m30a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m31";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m32";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m34";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m35";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m36";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m37";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m38";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m39";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m411";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m412";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m413";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m42";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m43";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m45";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m49";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m48";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m53";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"m54";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
