"angkotid";"top_1";"top_2";"center_1";"center_2";"center_3";"bottom"
"koridor10cancolpgc";"orange";"orange";"red";"red";"red";"red"
"koridor10cpgcancol";"orange";"orange";"red";"red";"red";"red"
"koridor10pgctanjungpriok";"orange";"orange";"red";"red";"red";"red"
"koridor10tanjungpriokpgc";"orange";"orange";"red";"red";"red";"red"
"koridor11kampungmelayupulogebang";"orange";"orange";"red";"red";"red";"red"
"koridor11pulogebangkampungmelayu";"orange";"orange";"red";"red";"red";"red"
"koridor1blokmkota";"orange";"orange";"red";"red";"red";"red"
"koridor1kotablokm";"orange";"orange";"red";"red";"red";"red"
"koridor2bkaliderespulogadung";"white";"grey";"grey";"grey";"grey";"grey"
"koridor2bpulogadungkalideres";"white";"grey";"grey";"grey";"grey";"grey"
"koridor2harmonipulogadung";"white";"grey";"grey";"grey";"grey";"grey"
"koridor2pulogadungharmoni";"white";"grey";"grey";"grey";"grey";"grey"
"koridor3akalideressenayan";"white";"grey";"grey";"grey";"grey";"grey"
"koridor3asenayankalideres";"white";"grey";"grey";"grey";"grey";"grey"
"koridor3kaliderespasarbaru";"white";"grey";"grey";"grey";"grey";"grey"
"koridor3pasarbarukalideres";"white";"grey";"grey";"grey";"grey";"grey"
"koridor4dukuhataspulogadung";"white";"grey";"grey";"grey";"grey";"grey"
"koridor4pulogadungdukuhatas";"white";"grey";"grey";"grey";"grey";"grey"
"koridor5aancolharmoni";"white";"grey";"grey";"grey";"grey";"grey"
"koridor5aharmoniancol";"white";"grey";"grey";"grey";"grey";"grey"
"koridor5ancolkampungmelayu";"white";"grey";"grey";"grey";"grey";"grey"
"koridor5kampungmelayuancol";"white";"grey";"grey";"grey";"grey";"grey"
"koridor6amonasragunan";"white";"grey";"grey";"grey";"grey";"grey"
"koridor6aragunanmonas";"white";"grey";"grey";"grey";"grey";"grey"
"koridor6bpulogadungragunan";"white";"grey";"grey";"grey";"grey";"grey"
"koridor6bragunanpulogadung";"white";"grey";"grey";"grey";"grey";"grey"
"koridor6dukuhatas2ragunan";"white";"grey";"grey";"grey";"grey";"grey"
"koridor6ragunandukuhatas2";"white";"grey";"grey";"grey";"grey";"grey"
"koridor7kampungmelayukampungramb";"white";"grey";"grey";"grey";"grey";"grey"
"koridor7kampungrambutankampungme";"white";"grey";"grey";"grey";"grey";"grey"
"koridor8harmonilebakbulus";"white";"grey";"grey";"grey";"grey";"grey"
"koridor8lebakbulusharmoni";"white";"grey";"grey";"grey";"grey";"grey"
"koridor9pinangrantipluit";"orange";"orange";"red";"red";"red";"red"
"koridor9pluitpinangranti";"orange";"orange";"red";"red";"red";"red"
