"angkotid";"top_1";"top_2";"center_1";"center_2";"center_3";"bottom"
"112";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"128";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"37";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"79";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d01jaluri";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d01jalurii";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d02";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d04";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d06";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d07";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d07a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d08";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d09";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d10";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d102";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d105";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d107";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d10a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d11";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d112";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d25";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d26";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d27";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d29";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d35";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d35a";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"d69";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
