"angkotid";"top_1";"top_2";"center_1";"center_2";"center_3";"bottom"
"abb";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"abg";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"adl";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"ag";"cyan";"cyan";"cyan";"red";"cyan";"cyan"
"ajg";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"al";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"amg";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"asd";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"at";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"ckl";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"ga";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"gl";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"gm";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"gml";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"jdm";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"jpk";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"ldg";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"lg";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"mk";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"mks";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"mm";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"tat";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"tsg";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
"tst";"cyan";"cyan";"cyan";"cyan";"cyan";"cyan"
