"angkotid";"top_1";"top_2";"center_1";"center_2";"center_3";"bottom"
"bj";"grey";"grey";"grey";"grey";"grey";"grey"
"bm";"grey";"grey";"grey";"grey";"grey";"grey"
"cpasarloak";"grey";"grey";"grey";"grey";"grey";"grey"
"csedayu";"grey";"grey";"grey";"grey";"grey";"grey"
"d";"grey";"grey";"grey";"grey";"grey";"grey"
"da";"grey";"grey";"grey";"grey";"grey";"grey"
"dkb";"grey";"grey";"grey";"grey";"grey";"grey"
"dkm";"grey";"grey";"grey";"grey";"grey";"grey"
"dp";"grey";"grey";"grey";"grey";"grey";"grey"
"ebalongsari";"grey";"grey";"grey";"grey";"grey";"grey"
"f";"grey";"grey";"grey";"grey";"grey";"grey"
"gl";"grey";"grey";"grey";"grey";"grey";"grey"
"glakasantri";"grey";"grey";"grey";"grey";"grey";"grey"
"gs";"grey";"grey";"grey";"grey";"grey";"grey"
"gsepanjang";"grey";"grey";"grey";"grey";"grey";"grey"
"h1";"grey";"grey";"grey";"grey";"grey";"grey"
"h2";"grey";"grey";"grey";"grey";"grey";"grey"
"h2p";"grey";"grey";"grey";"grey";"grey";"grey"
"h4";"grey";"grey";"grey";"grey";"grey";"grey"
"i";"grey";"grey";"grey";"grey";"grey";"grey"
"imasctv";"grey";"grey";"grey";"grey";"grey";"grey"
"imbdst";"grey";"grey";"grey";"grey";"grey";"grey"
"j";"grey";"grey";"grey";"grey";"grey";"grey"
"jbmn";"grey";"grey";"grey";"grey";"grey";"grey"
"jk";"grey";"grey";"grey";"grey";"grey";"grey"
"jmk";"grey";"grey";"grey";"grey";"grey";"grey"
"jtk";"grey";"grey";"grey";"grey";"grey";"grey"
"jtk2";"grey";"grey";"grey";"grey";"grey";"grey"
"k";"grey";"grey";"grey";"grey";"grey";"grey"
"kip1";"grey";"grey";"grey";"grey";"grey";"grey"
"kip2";"grey";"grey";"grey";"grey";"grey";"grey"
"l2";"grey";"grey";"grey";"grey";"grey";"grey"
"lk";"grey";"grey";"grey";"grey";"grey";"grey"
"lmj";"grey";"grey";"grey";"grey";"grey";"grey"
"m";"grey";"grey";"grey";"grey";"grey";"grey"
"n";"grey";"grey";"grey";"grey";"grey";"grey"
"o";"grey";"grey";"grey";"grey";"grey";"grey"
"pgebangputih";"grey";"grey";"grey";"grey";"grey";"grey"
"pkarangmenjangan";"grey";"grey";"grey";"grey";"grey";"grey"
"pketintang";"grey";"grey";"grey";"grey";"grey";"grey"
"q";"grey";"grey";"grey";"grey";"grey";"grey"
"r";"grey";"grey";"grey";"grey";"grey";"grey"
"r1";"grey";"grey";"grey";"grey";"grey";"grey"
"r2";"grey";"grey";"grey";"grey";"grey";"grey"
"rbk";"grey";"grey";"grey";"grey";"grey";"grey"
"rdk";"grey";"grey";"grey";"grey";"grey";"grey"
"rtrungkutharapan";"grey";"grey";"grey";"grey";"grey";"grey"
"rtrungkutmadya";"grey";"grey";"grey";"grey";"grey";"grey"
"s";"grey";"grey";"grey";"grey";"grey";"grey"
"t1simorejo";"grey";"grey";"grey";"grey";"grey";"grey"
"t2kenjeran";"grey";"grey";"grey";"grey";"grey";"grey"
"tvbalongsari";"grey";"grey";"grey";"grey";"grey";"grey"
"tvmanukan";"grey";"grey";"grey";"grey";"grey";"grey"
"ubb";"grey";"grey";"grey";"grey";"grey";"grey"
"urungkut";"grey";"grey";"grey";"grey";"grey";"grey"
"usp";"grey";"grey";"grey";"grey";"grey";"grey"
"v";"grey";"grey";"grey";"grey";"grey";"grey"
"wb";"grey";"grey";"grey";"grey";"grey";"grey"
"wkarangmenjangan";"grey";"grey";"grey";"grey";"grey";"grey"
"wlwonosari";"grey";"grey";"grey";"grey";"grey";"grey"
"x";"grey";"grey";"grey";"grey";"grey";"grey"
"y";"grey";"grey";"grey";"grey";"grey";"grey"
"z";"grey";"grey";"grey";"grey";"grey";"grey"
"z1margomulyo";"grey";"grey";"grey";"grey";"grey";"grey"
"z1tanjungsari";"grey";"grey";"grey";"grey";"grey";"grey"
